full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code,Actual,Predicted
1211 STATLER DR DUNCANVILLE TX 75116,3,2.0,1984,2161,14575,312776,32.6717114,-96.9198594,75116,312776,293547
1211 STATLER DR DUNCANVILLE TX 75116,3,2.0,1984,2161,14575,312776,32.6717114,-96.9198594,75116,312776,337968
4819 PALOS VERDES DR MESQUITE TX 75150,2,2.0,1984,1288,3167,242678,32.8305615,-96.6121138,75150,242678,250587
3107 BERKSHIRE DR MESQUITE TX 75150,3,2.0,1976,1639,7797,305168,32.8101291,-96.6467576,75150,305168,278356
312 ROLLINGWOOD DR MESQUITE TX 75149,2,1.0,1955,1213,10319,206178,32.76466,-96.6381995,75149,206178,209518
1420 RUSK DR MESQUITE TX 75149,3,1.5,1962,1046,7501,210458,32.7397393,-96.6188732,75149,210458,212367
4809 LAS LOMAS DR MESQUITE TX 75150,3,2.0,1983,1897,8189,306966,32.8310091,-96.6036808,75150,306966,301983
216 DARIEN DR MESQUITE TX 75149,3,1.0,1956,1251,8163,221457,32.7656782,-96.6389472,75149,221457,216175
3001 DAYBREAK TRL MESQUITE TX 75181,4,2.0,2017,2266,10232,377405,32.7293498,-96.5450442,75181,377405,360562
3010 MAJESTIC CT GARLAND TX 75040,3,2.0,1986,2176,14823,377405,32.9447457,-96.6277599,75040,377405,360562
1427 WINDMILL LN MESQUITE TX 75149,3,2.5,1986,1736,4809,285844,32.7786114,-96.5761491,75149,285844,288123
1536 COPPER MEADOW DR MESQUITE TX 75149,3,2.5,1986,2139,5828,293311,32.7756722,-96.5744392,75149,293311,315782
1500 PAULA LN MESQUITE TX 75149,3,2.0,1997,1807,8107,300542,32.7497734,-96.6069353,75149,300542,293876
1440 JESSICA LN MESQUITE TX 75149,3,2.0,1998,1452,5101,255598,32.7500848,-96.61019,75149,255598,312161
