full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,lat,long,zip_code
2509 BENT BROOK DR MESQUITE TX 75181,3,2.5,1993,1893,5645,280459,32.7400038,-96.5435286,75181
2609 CRYSTAL FALLS DR MESQUITE TX 75181,3,2.0,1996,1644,7022,285463,32.740057,-96.5410009,75181
2420 LOVELL DR MESQUITE TX 75150,3,2.0,1970,1840,9518,306734,32.807432,-96.637982,75150
2600 HELEN LN MESQUITE TX 75181,4,2.5,1993,2165,5772,323488,32.7384589,-96.5436985,75181
4613 OLYMPIA DR MESQUITE TX 75150,3,2.0,1981,1930,7396,370229,32.827918,-96.607393,75150
2536 BELHAVEN DR MESQUITE TX 75150,3,2.0,1968,1736,7606,270536,32.8033143,-96.6389958,75150
1443 WINDMILL LN MESQUITE TX 75149,3,2.0,1986,1412,4683,285666,32.7784643,-96.5756069,75149
1333 HACKAMORE ST MESQUITE TX 75149,3,2.0,1985,1395,4800,260234,32.7778895,-96.5773586,75149
1528 COPPER MEADOW DR MESQUITE TX 75149,3,2.0,1986,1334,5846,256104,32.7756591,-96.5746894,75149
1541 COPPER MEADOW DR MESQUITE TX 75149,3,2.0,1985,1412,6164,276866,32.7761178,-96.574314,75149
2712 WESTVIEW DR MESQUITE TX 75150,4,2.0,1964,2057,8146,306430,32.8030051,-96.6428713,75150
2526 CUMBERLAND DR MESQUITE TX 75150,3,2.5,1968,2199,7606,302752,32.8030957,-96.637817,75150
732 DANDELION DR MESQUITE TX 75149,3,2.0,2000,2100,7292,345397,32.7739815,-96.5890792,75149
1406 WINDMILL LN MESQUITE TX 75149,3,2.0,1986,1397,4474,268747,32.778313,-96.5768164,75149
1330 WINDMILL LN MESQUITE TX 75149,3,2.5,1985,1671,4800,276932,32.7783219,-96.5774837,75149
1545 COPPER MEADOW DR MESQUITE TX 75149,3,2.0,1985,1679,5850,290733,32.7761243,-96.5741889,75149
2701 HIDDEN SPRINGS DR MESQUITE TX 75181,3,2.0,1995,1475,5502,262733,32.7377125,-96.542168,75181
2600 SPRING RAIN DR MESQUITE TX 75181,3,2.0,1997,1420,5650,259532,32.7401517,-96.5417095,75181
2400 CHASEPARK DR MESQUITE TX 75181,3,2.0,2001,2212,8364,309452,32.7297981,-96.5415011,75181
2205 ANDERS DR MESQUITE TX 75150,4,2.0,1972,2045,7854,342202,32.8073114,-96.6344803,75150
2225 ANDERS DR MESQUITE TX 75150,4,2.0,1972,2045,7854,314803,32.806698,-96.6353562,75150
4812 CLUB VIEW CIR MESQUITE TX 75150,4,2.5,2003,3038,8721,384416,32.8379907,-96.6425373,75150
